Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Where does Free for Charity come in to help our charity or nonprofit?	Free for Charity will fill these vital roles for non profits and charities saving money for real program expenses. Most small to medium charities do not have the budget for full-time IT staff or business analysts like for profit companies and large charities . This is because grant managers and large donors want to see the lowest cost to “overhead” and don’t always look closely at the results that fall under program expenses.Because of this common practice by large donors and grant institutions it is actually better for a small charity to waste money due to mismanagement such as by paying for something they could get for free because the item is put on the books as a ‘program expense’ and not questioned. Program expenses do not count against the charity like “overhead” does.Paying someone on the non program admin staff or the director of the charity to research and call companies for discounts is a labor cost that counts as “overhead” because it helps more than one program. With free for charity doing the work the target charity does not have to claim costs for overhead. Your nonprofit or charity group will gain access to professionals that have more expertise with the common business tasks like researching products to meet the charities needs. Free for Charity will also show you recommended technology and business practices that can save thousands each year.	freeforcharity Help For Charities QnA Master List.docx		[{"ClusterHead":"Hello, I need help to build a non profit charity website. Could you help?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":1,"AlternateQuestionList":[{"Question":"Hello, I need help to build a non profit charity website. Could you help?","AutoSuggestedCount":1,"UserSuggestedCount":1}]},{"ClusterHead":"help","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"help","AutoSuggestedCount":1,"UserSuggestedCount":0}]},{"ClusterHead":"I am creating a nonprofit corporation, but I don't have a Website, yet. Can I creat a free website for my  nonprofit corporation? Thanks","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"I am creating a nonprofit corporation, but I don't have a Website, yet. Can I creat a free website for my  nonprofit corporation? Thanks","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	162
How can I tell if we have high overhead? / My charity does not have high overhead!	Free for Charity is all about efficiency. Many charities ‘fix’ this overhead problem by treating all staff as working on / in the programs or pro-rating between them all and hoping they will not get audited. While on paper you show very low overhead the functional effect is still the same. You have high paid staff like a director doing work that should be done by skilled volunteers or technology. Items such as your nonprofit or charity group bookkeeping data entry, or a full-time employee who updates the charity website or nonprofit Facebook page every now and then between front desk tasks.If you have ever seen a charity with lower than 5% over head this is mostly what is going on. If you have low recorded overhead then your charity is most likely not using experts for tasks and all staff are wearing many hats; most of which they were never trained in.	freeforcharity Help For Charities QnA Master List.docx		[{"ClusterHead":"What websites have you built?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":1,"AlternateQuestionList":[{"Question":"What websites have you built?","AutoSuggestedCount":1,"UserSuggestedCount":1}]}]	False	[]	163
Are you like volunteermatch.org or other matching agencies?	Not exactly. That type of charity matches workers with charities but then leaves the management of the work to the individual nonprofit or charity group. Many small and medium charities do not have the time to manage a volunteer or group of volunteers . Even charities with a volunteer coordinator who works with entry level volunteers may not have the skills to manage highly technical or high level business volunteers such as those with MBA’s or decades in high level information technology. This can result in your best volunteers leaving before a project is completed.Free for Charity will manage both the work and the results of the projects in-house. All you have to do as a charity is to work with your project manager to set expectations and define results at each stage of the project .We also provide many physical services like nonprofit websites and hosting that are functionally like a product to your charity. We manage all the functions in the background with volunteers . With these other sites you get one person assigned to work your web project and you have no management support once it is done unless that one person stays on as a volunteer permanently. With Free for Charity if your initial volunteer leaves another from the web team still works on your project and keeps your websites running and maintained. This is just one example.	freeforcharity Help For Charities QnA Master List.docx		[]	False	[]	164
What phone number do you want us to reach you at	If you want to reach our volunteer manager to get support if you are a current charity or to sign up as a new charity or charity volunteer please call our founder Clarke Moyer you can call his direct cell phone at +1 520-222-8104.	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	165
What is the legal status of your organization?	501c(3) Nonprofit	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	166
What is your organization’s EIN number?	Free For Charity’s EIN is 46-2471893	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	167
What is your EIN	Free For Charity’s EIN is 46-2471893	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	167
What is your GuideStar.org URL?	Our charity / nonprofit profile is located at [https://www.guidestar.org/profile/46-2471893](https://www.guidestar.org/profile/46-2471893) 	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	168
What is your organization's mission?	Free for Charity has a simple mission with broad implications.\n\nReduce costs and increase revenues for nonprofits; putting that money back into their charitable mission where it belongs.\n\nThis charity for charities seeks to replace as many functions as possible that current nonprofits pay for to for-profit companies with free or at cost work from our campus, on site projects, or partnerships with other entities.	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	169
Have you been approved by TechSoup.org?	Yes. We have been a supporter and an approved user of TechSoup for many years and also use the Techsoup Boost Service.	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	170
Do you have a domain name?	Yes, we have several domains that support our work. Our main domain is (https://freeforcharity.org). Our hosting platform and charity onboarding domain is (https://ffchosting.org). Our Domain Name product is (https://ffcdomains.org) Our team administers our staff and volunteers from (https://ffcadmin.org)	freeforcharity Charity Onboarding Questions QnA Master List.docx		[{"ClusterHead":"would we get free domain name?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"would we get free domain name?","AutoSuggestedCount":2,"UserSuggestedCount":0}]},{"ClusterHead":"how to get a free domain","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"how to get a free domain","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	171
Do you have Web Hosting?	Yes! We host the majority of our projects on Shared Hosting and Microsoft Azure that are run and managed at no cost to our organization thanks to a generous donation. For those projects that are higher risk (security or traffic fluctuations) we host inside of WPMUdev.	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	172
What is your current/desired domain name?	Our current primary domain name is ( [https://freeforcharity.org](https://freeforcharity.org) ) we would love to own the ( [https://freeforcharity.com](https://freeforcharity.com) ) domain name as well if it comes up for sale / donation. We would also love ( [https://ffc.org](https://ffc.org) ) if it ever became available.	freeforcharity Charity Onboarding Questions QnA Master List.docx		[{"ClusterHead":"would we get free domain name?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"would we get free domain name?","AutoSuggestedCount":2,"UserSuggestedCount":0}]}]	False	[]	173
Who is your current hosting provider?	We host exclusively with our own service ( https://ffchosting.org ). We host the majority of our projects on Shared Hosting and Microsoft Azure. Both are run and managed at no cost to our organization thanks to a generous donation. For those projects that are higher risk (security or traffic fluctuations) we host inside of WPMUdev.	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	174
Do you have a business email provider?	Yes. We have used Google in the past for email hosting however when O365 became free for nonprofits we switched to Microsoft given the enhanced feature set and capabilities of the complete office.com product line. We still support both Google and Microsoft email providers for our supported nonprofits.	freeforcharity Charity Onboarding Questions QnA Master List.docx		[]	False	[]	175
What is the difference between a nonprofit and charity?	A nonprofit and a charity are often considered the same thing. The primary differentiator is there are many different types of organizations that can be nonprofit including organizations who have no legal status but operate without a profit motive. Charities however almost always refer to an organization with recognized legal status at both the state and federal level as a nonprofit organization.	freeforcharity General QnA Master List.docx		[]	False	[]	176
Why Free For Charity?	Free for Charity has a simple mission with broad implications.\n\nReduce costs and increase revenues for nonprofits; putting that money back into their charitable mission where it belongs. As a nonprofit ourselves we understand what small organizations need and how we can help. Reach out to us and let us prove our worth to your organization.	freeforcharity General QnA Master List.docx		[{"ClusterHead":"how to get a free domain","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"how to get a free domain","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	177
What are your office hours?	Free For Charity operates from multiple sites and in multiple US time zones however we do have a limited staff and do not accept walk-ins. We can generally be reached seven days a week between 7 AM and 7 PM in US time zones.  Our preferred method of contact is via bot (Bot direct URL) or support requests ( [https://ffchosting.org/hub](https://ffchosting.org/hub) ) so that the appropriate resource can be alerted. If you are currently supported by Free For Charity and are having an emergency please call Clarke Moyer the founder at 520-222-8104 . If it is not an emergency you can get information and other contact information on our website at ( [https://freeforcharity.org](https://freeforcharity.org) ) 24x7.	freeforcharity General QnA Master List.docx		[{"ClusterHead":"What are your hours","TotalAutoSuggestedCount":3,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"What are your hours","AutoSuggestedCount":3,"UserSuggestedCount":0}]}]	False	[]	178
What services do you provide	**What services do you provide**\n\nHello, Free For Charity provides many different services, but they vary greatly depending on whether you are an individual or an organization, and what your organizations status is or your individual role. Please select from the below for more info.	freeforcharity Services Multi-Turn QnA.docx		[]	False	[{"DisplayOrder":0,"QnaId":180,"Qna":null,"DisplayText":"Services for Individuals"},{"DisplayOrder":1,"QnaId":186,"Qna":null,"DisplayText":"Services for Not-For-Profit, Nonprofits, and Charitable Activities That Are Pre IRS 510c3 Status"},{"DisplayOrder":2,"QnaId":188,"Qna":null,"DisplayText":"Services for Fully IRS Approved 501C3 Charities & Nonprofits"}]	179
Services for Individuals	**Services for Individuals**\n\nFree for Charity was originally founded with an educational mission to assist nonprofits with technical and business skills. The primary method of accomplishing this is to train individuals both those that work for the nonprofit as well as external individuals who want to make a difference. We continue to provide training programs across multiple core technologies that support our nonprofit partners. Choose from the options below to learn more about them.	freeforcharity Services Multi-Turn QnA.docx		[]	False	[{"DisplayOrder":0,"QnaId":181,"Qna":null,"DisplayText":"Web development"},{"DisplayOrder":1,"QnaId":182,"Qna":null,"DisplayText":"Graphic Design"},{"DisplayOrder":2,"QnaId":183,"Qna":null,"DisplayText":"Artificial Intelligence"},{"DisplayOrder":3,"QnaId":184,"Qna":null,"DisplayText":"Business Services"},{"DisplayOrder":4,"QnaId":185,"Qna":null,"DisplayText":"Other"}]	180
Web development	**Web development**\n\nWe have provided full stack web hosting and development to over 100 supported nonprofits since our founding. We will support individuals in learning how to provide the most benefit to nonprofits with missions that you care about. If you are interested in signing up as a skilled volunteer or to enroll in one of our learning programs to become a skilled volunteer visit our volunteer signup page ( https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/ ) or call our founder Clarke Moyer: 520-222-8104	freeforcharity Services Multi-Turn QnA.docx		[]	False	[]	181
Graphic Design	**Graphic Design**\n\nEach new charity in roles in our system always seems to need some form of graphic design support. We provide everything from basic logos to stationery and end-of-the-year report templates that help hours supported nonprofits look more professional and engage more effectively with their constituents. If you are interested in signing up as a skilled volunteer or to enroll in one of our learning programs to become a skilled volunteer visit our volunteer signup page ( https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/ ) or call our founder Clarke Moyer: 520-222-8104	freeforcharity Services Multi-Turn QnA.docx		[]	False	[]	182
Artificial Intelligence	**Artificial Intelligence**\n\nOne of our newest offerings is supporting nonprofits in utilizing Machine Learning and Artificial Intelligence particularly those services provided by Microsoft through the nonprofit grant system. If you are on the cutting edge of AI/ML or want to learn more about these technologies and support nonprofits at the same time visit our volunteer signup page ( https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/ ) or call our founder Clarke Moyer: 520-222-8104	freeforcharity Services Multi-Turn QnA.docx		[]	False	[]	183
Business Services	**Business Services**\n\nNonprofits are still legally corporations within the United States and as such have all the same requirements and in some cases more than a traditional business. We help to support nonprofits and charities with these business responsibilities through application of both technology and non-technological business support. If you are interested in signing up as a skilled volunteer or to enroll in one of our learning programs to become a skilled volunteer visit our volunteer signup page ( https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/ ) or call our founder Clarke Moyer: 520-222-8104	freeforcharity Services Multi-Turn QnA.docx		[]	False	[]	184
Other	**Other**\n\nWe are always seeking new ways to make nonprofits better. If you have a skill set not otherwise defined and If you are interested in signing up as a skilled volunteer visit our volunteer signup page ( https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/ ) or call our founder Clarke Moyer: 520-222-8104	freeforcharity Services Multi-Turn QnA.docx		[]	False	[]	185
Services for Not-For-Profit, Nonprofits, and Charitable Activities That Are Pre IRS 510c3 Status	**Services for Not-For-Profit, Nonprofits, and Charitable Activities That Are Pre IRS 510c3 Status**\n\nFree For Charity is one of the few organizations that provide support to Non-501c(3) organizations. FFC recognizes that all IRS 501c3 nonprofits started out as unrecognized organizations. It is in this vulnerable period, normally the first year of operation where organizations do not qualify for support from major companies such as Google or Microsoft and organizations are at the highest risk of being preyed on by for-profit consultants or businesses. While not all our services are available before your organization has its status our consulting service, and our free WordPress website / domain name service is available. Select each to learn more.	freeforcharity Services Multi-Turn QnA.docx		[]	False	[{"DisplayOrder":0,"QnaId":187,"Qna":null,"DisplayText":"Free For Charity Consulting"}]	186
Free For Charity Consulting	**Free For Charity Consulting**\n\nAs simple or complex as it needs to be. No matter where you are at in the process of forming your charity; we will discuss your options and find ways to reduce your organizations costs. As we are a free service however we do require organizations to be at a certain level of commitment and formalization so that we can best apply our limited resources. If you are interested in unlocking all of the different services available to your charitable activity, please submit a formal request through our support system ( [https://ffchosting.org/hub/cart.php?a=add&pid=16](https://ffchosting.org/hub/cart.php?a=add&pid=16) ).	freeforcharity Services Multi-Turn QnA.docx		[]	False	[]	187
Services for Fully IRS Approved 501C3 Charities & Nonprofits	**Services for Fully IRS Approved 501C3 Charities & Nonprofits**\n\nOur first and best-known service is free domain names and WordPress website hosting for nonprofit and charity organizations. Since our founding we have added many additional services including location management services, social media services, and general consulting.	freeforcharity Services Multi-Turn QnA.docx		[{"ClusterHead":"I am creating a nonprofit corporation, but I don't have a Website, yet. Can I creat a free website for my  nonprofit corporation? Thanks","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"I am creating a nonprofit corporation, but I don't have a Website, yet. Can I creat a free website for my  nonprofit corporation? Thanks","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	188
Do you ever get hurt?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you breathe	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Do you ever breathe	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
can you masticate?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you burp?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you chew?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you crawl?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you cry?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you dream	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you eat?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you fart?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Do you breathe	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you get tired?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you yawn?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you pee?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
Can you poop?	I don't have a body.	qna_chitchat_professional.tsv	editorial:chitchat	[{"ClusterHead":"Do you do ball donation","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Do you do ball donation","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	189
